,Years,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Wind,April,August,December,February,January,July,June,March,May,November,October,September,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,Distrito Federal,Espirito Santo,Goias,Maranhao,Mato Grosso,Minas Gerais,Paraiba,Pará,Pernambuco,Piau,Rio
121,1999,-41.875,29.983,765.0,18.867,3.686431212,2.152629213,22.45753458,0.707139695,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2000,-41.875,25.619,765.0,14.394,0.017166132,2.8507404960000002,14.74251113,0.717092556,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2001,-41.875,31.058000000000003,765.0,16.557000000000002,0.017166139,2.758593608,24.99665904,0.675305257,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2002,-41.875,33.843,765.0,17.307000000000002,1.3509751319999999,2.115990918,22.15135944,0.655430501,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2003,-41.875,32.073,765.0,18.464000000000002,0.9201058559999999,2.027988797,20.15347428,0.6524327129999999,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2004,-41.875,24.616999999999997,765.0,14.575,1.92432402,2.482757303,17.42315742,0.700506298,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2005,-41.875,21.303,765.0,14.939,1.0883332940000001,2.4557580690000003,6.14879316,0.8622695440000001,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2006,-41.875,21.221,765.0,10.737,0.628281374,3.950319807,9.72433368,0.782291438,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2007,-41.875,27.04,765.0,12.116,0.082397448,3.306278132,22.5550647,0.639854189,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2008,-41.875,29.414,765.0,12.99,0.09956365199999999,3.48501765,25.42117518,0.594231679,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2009,-41.875,17.813,765.0,16.039,4.00314456,4.257023564,3.99380418,0.872824817,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2010,-41.875,30.816,765.0,18.765,3.18260412,3.0368272660000004,19.52746416,0.640093116,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2011,-41.875,26.891,765.0,16.969,0.30212401699999997,2.311395807,19.21752972,0.8048305459999999,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,2012,-41.875,28.195,765.0,18.185,0.413704195,2.394572087,19.00630602,0.832821191,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2013,-41.875,31.585,765.0,17.276,0.030899066,2.435080717,30.45154698,0.661459764,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,2014,-41.875,30.008000000000003,765.0,17.28,0.446319842,2.47959813,19.75370767,0.725814882,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2015,-41.875,31.23,765.0,17.772000000000002,4.191975216,1.8936962780000002,22.37782284,0.7772626159999999,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2016,-41.875,26.675,765.0,16.784000000000002,0.363922013,2.696061649,13.88975364,0.7784993729999999,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2017,-41.875,24.391,765.0,14.106,0.187111058,3.41222583,18.91377936,0.796468162,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1998,-41.875,22.675,765.0,16.166,1.349257421,3.3021011189999996,11.2338549,0.775915316,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,1999,-41.875,27.88,765.0,13.09,0.0,2.263443363,21.66446664,0.679099874,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,2000,-41.875,33.623000000000005,765.0,18.561,0.0,2.5838008340000003,18.76331484,0.566877605,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,2001,-41.875,31.443,765.0,16.791,0.0686646,3.643129135,27.55558181,0.542329535,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2002,-41.875,26.448,765.0,16.660999999999998,0.006866453000000001,3.056830376,23.43824694,0.7100274809999999,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2003,-41.875,21.69,765.0,18.917,10.65673249,2.112096984,6.61162446,0.939428345,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,2004,-41.875,29.802,765.0,15.119000000000002,1.799012052,2.457635505,28.16330544,0.806428658,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2005,-41.875,32.544000000000004,765.0,16.951,0.024032606,3.24291668,30.64119615,0.615160367,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2006,-41.875,26.235,765.0,19.715,30.41667248,1.242730596,10.81558206,0.9405993109999999,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2007,-41.875,26.044,765.0,19.007,2.437591925,2.178562002,17.48447388,0.8609016290000001,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2008,-41.875,21.658,765.0,16.369,0.600814678,2.259945648,6.551271,0.833043372,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,2009,-41.875,19.354,765.0,16.36,2.44789164,2.427774829,3.76970562,0.899352794,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2010,-41.875,20.133,765.0,15.23,0.820541585,3.410749514,4.07722824,0.8063338659999999,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,2011,-41.875,27.099,765.0,8.875,0.0,1.972967271,22.0362768,0.650958273,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2012,-41.875,26.584,765.0,15.427,1.187896032,3.670442427,7.781459507999999,0.696302648,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2013,-41.875,27.342,765.0,19.804000000000002,2.454757459,1.7781062840000001,12.76115281,0.781800095,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2014,-41.875,27.601999999999997,765.0,19.243,0.29869081199999997,3.42095478,20.70388962,0.764025532,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,2015,-41.875,23.983,765.0,18.025,5.053712796,2.1417697540000002,13.90955112,0.924236747,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2016,-41.875,28.16,765.0,18.003,2.231598053,1.92638924,22.05574056,0.8248834009999999,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2017,-41.875,24.142,765.0,16.535999999999998,8.191679846,2.2050439219999998,20.13560698,0.924112011,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1998,-41.875,23.564,765.0,16.639,13.51833156,1.40914525,26.30542112,0.937197356,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,1999,-41.875,26.342,765.0,15.862,0.0,1.8778991219999999,21.48694238,0.856292307,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,2000,-41.875,19.439,765.0,15.459000000000001,0.475501874,3.2204218539999996,6.9281021439999995,0.906708069,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,2001,-41.875,24.038,765.0,11.489,0.08754737,1.7580331169999999,17.09918792,0.775428282,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2002,-41.875,27.416,765.0,11.445,0.12702942,1.426437374,16.66114939,0.707589364,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,2003,-41.875,21.381,765.0,12.877,0.10299679199999999,4.178269842,18.86212052,0.7905886990000001,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,2004,-41.875,25.590999999999998,765.0,12.595999999999998,0.24375911,2.592268979,19.51958177,0.741022227,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2005,-41.875,28.02,765.0,15.908,0.14076229699999998,4.769403856,26.60606368,0.602540758,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2006,-41.875,22.004,765.0,16.031,0.298690783,3.658680349,13.18536978,0.862606323,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2007,-41.875,19.907,765.0,17.750999999999998,26.45301859,2.037412338,3.7181326510000003,0.96987958,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2008,-41.875,23.459,765.0,16.982,1.87454412,3.0033126560000003,16.11370867,0.866475784,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2009,-41.875,25.185,765.0,15.562999999999999,0.624847111,3.179578142,20.63339828,0.8113281790000001,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,2010,-41.875,26.639,765.0,15.329,0.9664537320000001,2.2492092340000003,24.03183393,0.809259539,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,2011,-41.875,22.404,765.0,16.781,9.498021746000001,1.222887316,5.582049721000001,0.94065571,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,2012,-41.875,29.476999999999997,765.0,16.497,0.58708242,1.716836581,21.24815698,0.658916316,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2013,-41.875,17.45,765.0,15.196,1.3509755780000001,2.678917885,4.431065093,0.934671252,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,2014,-41.875,28.008000000000003,765.0,14.526,0.0,2.7560057110000002,19.41479814,0.62668435,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,2015,-41.875,26.226,765.0,13.618,0.178527845,2.228577642,14.08194538,0.7186752240000001,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,2016,-41.875,22.342,765.0,12.686,0.209427012,5.443373243,21.68578158,0.67308117,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,2017,-41.875,36.147,765.0,14.522,0.0,2.110693905,21.229802600000003,0.49164113299999995,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1998,-41.875,29.281999999999996,765.0,14.547,0.930404736,2.449635193,15.0658734,0.655568299,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,1999,-41.875,20.195,765.0,16.53,11.60602405,2.810010229,5.254948688,0.938062904,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,2000,-41.875,33.062,765.0,15.364,0.0,1.243900795,31.56674128,0.608097539,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2001,-41.875,22.96,765.0,18.02,6.899073624,1.867574997,13.79890204,0.927096976,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,2002,-41.875,29.778000000000002,765.0,15.352,0.0,2.4319098080000003,29.35615438,0.658832554,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2003,-41.875,28.093000000000004,765.0,16.335,1.000785852,2.103164456,18.04477738,0.7998708720000001,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,2004,-41.875,24.236,765.0,17.289,27.43148772,1.150814315,22.45808331,0.9360263590000001,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,2005,-41.875,25.318,765.0,14.36,0.013732913000000001,2.7046265710000004,19.28293611,0.7961258929999999,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,2006,-41.875,23.303,765.0,14.321,0.09613036800000001,2.505045493,17.16388086,0.7799112490000001,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,2007,-41.875,27.555999999999997,765.0,12.959000000000001,0.10642996800000001,2.097710928,16.70446991,0.668668822,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2008,-41.875,27.739,765.0,12.715,0.0,2.6479599680000003,18.74117605,0.6353656839999999,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2009,-41.875,21.229,765.0,13.501,0.305557272,3.3159591139999995,9.716996828,0.7958365159999999,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,2010,-41.875,27.209,765.0,11.575999999999999,0.027465804,3.19653943,29.35389568,0.667463445,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,2011,-41.875,30.084,765.0,16.272000000000002,2.64358368,2.5926203880000003,21.30355453,0.751500712,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2012,-41.875,22.016,765.0,17.022000000000002,54.93334275,1.187625795,5.387148227000001,0.9637884329999999,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2013,-41.875,24.655,765.0,15.722999999999999,0.154495238,3.047819648,19.040481699999997,0.868898005,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,2014,-41.875,26.35,765.0,16.537,0.5596164220000001,3.170566383,18.94472343,0.792940469,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,2015,-41.875,26.88,765.0,16.570999999999998,0.144195552,3.502342355,27.790898499999997,0.775851473,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,2016,-41.875,26.898000000000003,765.0,14.788,0.0,2.452568814,23.13317485,0.764346595,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,2017,-41.875,22.747,765.0,13.390999999999998,0.18539434800000001,3.92570976,21.36146063,0.756271545,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,1998,-41.875,19.078,765.0,15.53,0.913238208,4.160246015,5.69496794,0.8767613470000001,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,1999,-41.875,26.615,765.0,11.878,0.0,1.822186308,14.82566021,0.7054374790000001,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,2000,-35.9375,31.028000000000002,454.0,20.070999999999998,0.144195624,3.4949159219999997,10.36951884,0.6867423640000001,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2001,-35.9375,32.486999999999995,454.0,20.747,0.0,3.785045261,20.42752932,0.697043925,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2002,-35.9375,32.16,454.0,19.590999999999998,0.0,3.353470689,20.86672147,0.680671603,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2003,-35.9375,34.251,454.0,20.484,0.0,4.600149472,26.333100899999994,0.663480729,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,2004,-35.9375,32.531,454.0,18.782,0.030899052000000003,2.606360814,12.15911088,0.711740796,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,2005,-35.9375,30.805999999999997,454.0,17.942,0.048065197999999996,4.020379232,18.48369312,0.6885215729999999,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2006,-35.9375,26.796999999999997,454.0,17.233,0.075531017,4.089519868,14.45282424,0.787526999,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2007,-35.9375,29.383000000000003,454.0,16.795,0.0,4.661975484,23.82913242,0.709588282,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2008,-35.9375,26.145,454.0,16.587,0.858307313,4.339510864,20.62316466,0.804950767,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,2009,-35.9375,31.811,454.0,17.659000000000002,0.0,4.654008329,21.03395659,0.7047226,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,2010,-35.9375,33.911,454.0,19.925,0.0,4.671557265,27.77578416,0.6708530070000001,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2011,-35.9375,32.87,454.0,19.726,0.0,4.286834561,27.183988800000005,0.686548017,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,2012,-35.9375,32.406,454.0,19.224,0.0,4.492325293,22.27894344,0.670542857,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2013,-35.9375,33.229,454.0,19.64,0.0,4.006672625,20.06825609,0.652226501,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,2014,-35.9375,32.568000000000005,454.0,19.927,0.0,4.145974809,26.24012118,0.674447736,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,2015,-35.9375,29.872,454.0,18.511,0.072097776,4.457352734,20.45103966,0.7119933909999999,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,2016,-35.9375,28.35,454.0,19.765,3.871821312,2.9950039889999998,13.132744199999998,0.890657494,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,2017,-35.9375,31.309,454.0,17.641,0.09441378,2.954645165,18.35566992,0.7524590309999999,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,1998,-35.9375,29.997,454.0,15.665999999999999,0.0,3.359354672,22.16440368,0.6866265979999999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,1999,-35.9375,29.151,454.0,16.297,0.82397484,4.691654859,23.77782954,0.6773777390000001,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,2000,-35.9375,22.066,454.0,17.954,3.2358183260000004,3.5839757239999996,3.58920144,0.905648498,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,2001,-35.9375,26.089000000000002,454.0,18.83,2.2539162740000003,4.412477623,15.07448808,0.836797912,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,2002,-35.9375,32.429,454.0,18.94,0.0,4.417257548,27.46776132,0.6560472270000001,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2003,-35.9375,29.666,454.0,18.852999999999998,0.39138747100000004,3.5253291539999996,23.88768768,0.711062405,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,2004,-35.9375,33.266999999999996,454.0,18.714000000000002,0.8857728000000001,3.4469217239999996,19.53652824,0.668023715,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,2005,-35.9375,32.888000000000005,454.0,19.873,0.0,3.66701862,20.38179096,0.6748138370000001,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,2006,-35.9375,31.17,454.0,19.47,0.0,3.1458340989999996,26.85909787,0.730565895,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,2007,-35.9375,29.965,454.0,20.291,2.86331225,3.436520017,25.18362522,0.7990695520000001,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2008,-35.9375,30.016,454.0,19.829,0.358772407,3.590120085,23.79104298,0.802056526,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,2009,-35.9375,29.933000000000003,454.0,17.258,0.0,3.92502296,22.46658606,0.762542352,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,2010,-35.9375,27.654,454.0,18.671,0.027465811,4.689316401,21.32252172,0.8160164259999999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,2011,-35.9375,27.155,454.0,16.326,4.315567586,3.3038189360000003,22.68089676,0.875308842,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,2012,-35.9375,27.755,454.0,17.527,0.248909076,3.9952713589999997,24.13659348,0.817744406,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,2013,-35.9375,22.554000000000002,454.0,17.614,1.138114577,3.4674335989999996,5.07318552,0.9014779820000001,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,2014,-35.9375,31.789,454.0,19.276,0.22830940800000002,3.920846951,22.84598052,0.701273424,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,2015,-35.9375,31.941,454.0,19.511,0.010299679,4.28607295,23.96513808,0.682633886,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,2016,-35.9375,31.105,454.0,17.98,2.8152473039999997,3.0926047010000004,26.27280108,0.753616721,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,1998,-35.9375,32.602,454.0,19.23,0.0,4.313074278,25.38753595,0.659954033,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,1999,-35.9375,32.804,454.0,19.491,0.0,3.455430537,20.23121023,0.653294975,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,2000,-35.9375,29.123,454.0,20.548000000000002,4.123304473999999,3.6476534910000002,21.80127006,0.8148468870000001,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,2001,-35.9375,27.506,454.0,19.908,5.215072586000001,2.488799713,20.53692882,0.9032076290000001,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,2002,-35.9375,31.061,454.0,17.595,0.0,2.706976478,18.88964766,0.705051007,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,2003,-35.9375,26.045,454.0,17.244,0.375938791,4.578006117,7.31958948,0.8038448970000001,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,2004,-35.9375,22.574,454.0,18.549,4.600527624,3.432925939,7.07366376,0.938229558,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,2005,-35.9375,27.34,454.0,16.535,0.013732906000000001,4.909650911,24.35304654,0.7809581040000001,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,2006,-35.9375,34.389,454.0,19.846,0.32272362,3.6171774780000003,25.78460616,0.6981644020000001,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
